HIPNum1	HIPNum2	distance
6537	6539	0.175903
9007	9085	0.225462
9347	9326	0.259174
14135	14143	0.264231
7607	7493	0.271129
2021	1706	0.290804
2920	2854	0.297810
13531	13424	0.314929
11767	7283	0.328387
4427	4440	0.354021
677	544	0.393887
5364	5296	0.445102
9487	9353	0.578580
8645	8497	0.579649
4427	4151	0.601101
5165	4890	0.646519
7083	7189	0.691078
5364	5164	0.705433
4427	4475	0.709103
8886	8362	0.757085
5364	5121	0.759904
1562	1499	0.791780
9236	8983	0.795298
746	518	0.806809
9884	9836	0.826033
677	728	0.853617
4427	4962	0.913103
7588	7387	0.960871
3821	4383	0.961812
2920	2505	0.984265
3419	3717	0.984865
13701	13421	1.037511
7588	7506	1.042228
13701	13883	1.053897
7588	7751	1.078714
10602	11102	1.085134
13531	14043	1.085715
8886	9312	1.109686
2920	2611	1.140917
10602	10138	1.175379
746	43	1.177539
8903	9307	1.183701
8886	9573	1.185755
12706	12318	1.188062
13268	13178	1.200009
7097	7436	1.241705
14135	14104	1.250553
4436	4185	1.260008
4427	5021	1.260663
4427	3988	1.269714
6537	6564	1.271051
3821	3334	1.276570
14328	14043	1.297438
2920	2497	1.318912
9236	8957	1.325010
5364	5485	1.336378
13268	12692	1.340265
1562	1191	1.341599
2021	122	1.354608
14135	13756	1.360807
2072	2081	1.373927
6867	6595	1.378707
14328	14566	1.383790
3821	4292	1.391661
8645	9094	1.405029
9598	9586	1.429401
2072	1502	1.430626
6686	7294	1.432420
9884	10296	1.432643
2021	1268	1.458559
13847	13271	1.474814
3179	3544	1.476701
13209	12719	1.515971
9598	9480	1.518719
4427	4422	1.535694
8832	8903	1.536453
8886	9564	1.536767
13531	13732	1.553046
3092	3031	1.558250
12706	12862	1.561676
2081	2388	1.573861
11767	84535	1.591174
677	410	1.597720
1562	1158	1.612040
9007	8593	1.612907
3419	3576	1.641304
9347	9061	1.642780
3419	3175	1.647150
2081	1502	1.672228
3821	4422	1.685373
4427	3649	1.689099
13701	14060	1.703040
746	118116	1.710324
10064	10644	1.723427
13701	14110	1.724987
3179	3821	1.729093
8832	9110	1.731881
9007	8240	1.735368
13531	14328	1.746847
4427	4292	1.757147
9598	10350	1.758256
9007	9022	1.772729
3821	3649	1.786677
9487	8998	1.787418
2920	3544	1.790702
8903	8544	1.801822
13531	12686	1.853691
14328	13424	1.855377
8102	8688	1.874955
3179	2611	1.939947
6867	6592	1.948303
9598	7650	1.949144
2920	1982	1.959306
10064	10670	1.966686
5348	4829	1.967054
13701	14168	1.970246
5165	5862	1.973504
7607	8475	2.012475
8102	7450	2.018985
8886	9220	2.029124
746	1269	2.032007
8645	9237	2.037534
13209	13061	2.038469
8796	9132	2.046264
13847	13473	2.075769
13209	12489	2.078034
13209	13121	2.090387
7607	6999	2.093214
10064	10559	2.097754
8886	7593	2.098944
13268	14392	2.101020
6686	6486	2.115823
13847	13789	2.118304
9884	9153	2.123232
5447	5550	2.123261
13209	12744	2.124544
6686	5688	2.125417
6686	6242	2.133511
6686	7251	2.141147
9487	8833	2.161865
765	25	2.168763
11767	5928	2.171399
13531	14566	2.172065
8832	8159	2.172672
10064	9570	2.180160
6686	8046	2.185635
9236	7921	2.188594
13268	14382	2.212234
4427	5688	2.213943
746	418	2.222456
3179	3334	2.232320
7097	7740	2.237968
9884	9859	2.243564
11767	115746	2.246799
13701	14355	2.253712
7607	8068	2.255363
8832	9307	2.266972
3092	2355	2.275501
746	124	2.275881
8102	7345	2.285324
9640	9983	2.291720
14135	14315	2.302450
8102	8778	2.331646
6867	7115	2.332315
7083	6952	2.334603
13701	14293	2.335111
7097	7447	2.342671
9640	8922	2.342797
677	1215	2.345720
3179	2505	2.363595
677	1076	2.375816
8903	8159	2.387194
6537	5799	2.396154
9007	10138	2.398452
6686	8020	2.402813
9598	8016	2.422276
13268	13347	2.423132
2081	2240	2.425265
9007	8241	2.429144
677	171	2.431764
3179	2854	2.448828
5348	5477	2.460382
746	117957	2.493682
9884	10535	2.507308
9347	9862	2.520836
4427	2876	2.521387
8796	7906	2.522623
9884	10053	2.529558
5447	6140	2.534843
746	117863	2.548026
9640	10340	2.548567
9640	8814	2.549843
9487	10273	2.551061
14328	13732	2.551848
1067	476	2.554971
677	399	2.558198
14328	14392	2.565610
3821	5240	2.567350
746	1354	2.569774
746	117472	2.574468
3179	4383	2.575953
8645	7916	2.582208
9884	8993	2.598027
9884	9621	2.598878
9884	10306	2.600441
8886	8020	2.605528
9598	12273	2.611707
3821	5361	2.612422
13268	12686	2.617434
6686	6093	2.620387
2021	117125	2.621654
8832	9627	2.624619
9884	10203	2.638137
6686	7963	2.640053
3821	3544	2.646647
9487	9589	2.650799
4427	3334	2.654848
8832	8387	2.661184
6537	7276	2.665882
2021	116653	2.673621
5364	5799	2.676353
2920	1921	2.680398
2920	3179	2.688085
2072	3137	2.689469
746	117450	2.697882
5364	4587	2.701176
2021	3781	2.702335
7607	8127	2.717293
4427	4383	2.720906
11767	19454	2.721720
9884	10795	2.723278
3821	4440	2.731532
1562	671	2.750969
10602	11925	2.751301
6686	7617	2.755071
8832	7981	2.772656
13209	14109	2.775275
8903	8993	2.783423
2920	4212	2.788141
13701	14124	2.791092
677	34	2.797863
1067	1772	2.801261
746	2377	2.803144
677	1208	2.843819
6686	4962	2.845371
13847	12708	2.849152
5447	5936	2.850272
2072	2388	2.851126
8645	9372	2.862114
13531	12692	2.865580
6537	6822	2.871396
2021	116250	2.873915
4427	5361	2.876909
10064	9977	2.879623
9347	9562	2.885272
1067	1948	2.889524
8903	9153	2.890032
5447	4552	2.890850
8903	7981	2.893740
746	117301	2.898589
4436	3881	2.903489
3092	2912	2.904708
11767	37391	2.906410
13268	13424	2.915239
7607	8370	2.915807
6686	5021	2.937051
5165	3807	2.937773
11767	59767	2.938226
4436	5550	2.939820
3092	2583	2.943350
9487	9827	2.945501
9007	7978	2.951289
7083	8240	2.956780
6686	5361	2.957775
12706	12447	2.974121
9884	9307	2.975309
3821	2876	2.990411
12706	12093	2.997206
765	1502	3.009570
9884	10540	3.032928
7097	6981	3.034161
9347	10326	3.036926
10602	9085	3.037103
14328	15193	3.057234
8903	9110	3.058106
3821	4427	3.059554
12706	12387	3.059812
11767	5372	3.065941
4436	4903	3.080336
8832	8544	3.084785
12706	11738	3.101468
5364	6272	3.102162
14328	15219	3.105972
3179	4292	3.108626
9487	9631	3.134874
13268	14328	3.138676
3179	3649	3.145767
7607	8714	3.150243
13209	14232	3.156165
5447	6512	3.161537
13268	13531	3.175659
6537	6272	3.179136
4436	3231	3.185860
677	1630	3.189486
1067	729	3.190612
2920	3965	3.192221
3092	2475	3.192595
9007	10602	3.195018
746	330	3.195580
14328	14382	3.201043
2920	4023	3.206524
7097	7359	3.215149
7607	7651	3.229807
6867	5862	3.230078
14328	12686	3.240471
3821	2377	3.247280
8796	8433	3.249978
5364	4371	3.271243
8796	8086	3.280607
677	1493	3.283623
9598	6685	3.284371
746	1960	3.298176
8903	9836	3.324988
8903	9627	3.330583
4427	2377	3.343561
3821	4151	3.346780
9598	7078	3.354742
746	117299	3.367202
765	522	3.368554
765	88	3.372613
10602	12225	3.374671
8886	8046	3.375841
7083	8593	3.377248
13847	12486	3.394987
7083	8552	3.404387
3179	4422	3.405732
9236	11258	3.411154
7607	8044	3.426027
7607	9222	3.426829
2920	3801	3.441213
6867	6952	3.444111
2081	3521	3.460558
8645	8664	3.461148
2920	3300	3.473034
8645	9655	3.479021
8886	7050	3.479859
7097	7535	3.482277
10064	10220	3.482970
1562	1803	3.489194
5447	6514	3.493247
6537	5485	3.493290
7083	7115	3.497641
2081	3137	3.500441
3419	2846	3.513579
5447	6702	3.514653
5447	5175	3.516823
9007	9685	3.517659
9487	8404	3.520699
10064	9021	3.526249
7607	6087	3.527212
8645	7580	3.531793
1067	2178	3.540360
9640	10176	3.546184
8886	10438	3.550136
14328	12692	3.551535
5165	3583	3.554862
7588	7978	3.560584
2072	3521	3.561438
4427	2599	3.566878
6537	7580	3.575931
11767	25911	3.579043
10064	9001	3.580967
7588	7921	3.591171
11767	85699	3.592140
6686	4440	3.596704
4427	3951	3.597527
2072	3245	3.599345
6686	8115	3.601728
13268	11279	3.601864
14135	14915	3.606180
4427	6686	3.616155
765	117571	3.620878
5447	5319	3.625845
765	2072	3.628989
677	716	3.629022
746	2876	3.630468
10602	9022	3.632859
11767	109693	3.638306
10064	8930	3.642332
9640	11090	3.647097
6867	7443	3.648902
3179	5240	3.653404
3821	2611	3.658903
746	118243	3.659365
12706	13756	3.661521
13847	12608	3.665597
6686	4475	3.666529
7607	6813	3.671248
13268	15192	3.677580
7607	9163	3.686387
9598	5926	3.689335
3179	2377	3.690690
9598	9763	3.696447
13531	14392	3.699089
7607	8771	3.712214
5348	3527	3.724183
5447	4185	3.728567
7588	5477	3.736142
3821	4962	3.743948
3821	4475	3.753063
8886	6312	3.757832
2021	7271	3.761169
13701	14456	3.767998
5447	6776	3.768362
13531	15193	3.785230
9598	9009	3.786499
2072	2240	3.787849
746	118077	3.805153
5364	4257	3.808783
10602	9685	3.812711
6867	8320	3.815715
1067	2224	3.816614
2920	1415	3.818508
6686	4422	3.821867
13268	11174	3.822659
3179	2876	3.825689
7588	8957	3.828509
13268	14043	3.843795
13531	15219	3.847691
9236	9149	3.856087
4427	6242	3.868546
4436	5447	3.871315
13531	12777	3.871591
3821	6093	3.877372
4427	5566	3.877420
3419	3741	3.878213
9347	9999	3.891148
7607	8598	3.899200
9007	8552	3.899657
7588	8241	3.900716
3092	3885	3.901845
13531	14632	3.910681
3179	2497	3.910837
13209	12189	3.915749
14328	15404	3.916441
5165	6595	3.921672
3821	5336	3.925576
8903	9884	3.932822
5348	3277	3.936019
8645	8143	3.937801
9347	10069	3.943748
746	117447	3.946478
14328	14632	3.949212
14328	15192	3.956040
12706	12530	3.965269
11767	85822	3.967338
8903	10155	3.973069
13268	11060	3.973658
13701	13402	3.987726
4427	1960	3.990708
6686	8148	3.994290
3821	3988	3.999569
2021	115129	4.003128
4427	6093	4.004170
13209	14376	4.004277
4427	5240	4.008773
5165	6952	4.012771
7097	6706	4.024931
12706	11474	4.028528
3419	3505	4.028601
8832	10155	4.036673
3821	5542	4.038275
13701	12444	4.041443
9884	10155	4.042656
1562	355	4.046161
746	695	4.054969
746	116912	4.056058
7097	6732	4.058807
3092	1630	4.059361
10064	10176	4.060995
14328	15444	4.066608
12706	12114	4.069508
3821	2854	4.071466
5447	4889	4.077926
3821	2505	4.080287
7607	6411	4.086360
9640	7918	4.086918
6686	4292	4.094264
9884	8544	4.098421
6686	4151	4.103236
677	117500	4.104200
6686	5240	4.109052
