%  RA(deg)   DEC(deg)    HIPNum  Mag
  2.096911  29.090432    677  2.07
  2.294521  59.149780    746  2.28
  2.352675 -45.747426    765  3.88
  3.308970  15.183596   1067  2.83
  4.856977  -8.823921   1562  3.56
  6.437800 -77.254246   2021  2.82
  6.550841 -43.679830   2072  3.93
  6.571046 -42.305982   2081  2.40
  9.242853  53.896909   2920  3.69
  9.831982  30.861024   3092  3.27
 10.126835  56.537331   3179  2.24
 10.897379 -17.986605   3419  2.04
 12.276213  57.815187   3821  3.46
 14.177216  60.716740   4427  2.15
 14.188381  38.499345   4436  3.86
 16.521028 -46.718414   5165  3.32
 17.096174 -55.245760   5348  3.94
 17.147465 -10.182264   5364  3.46
 17.433015  35.620558   5447  2.07
 21.005854  -8.183257   6537  3.60
 21.453968  60.235283   6686  2.66
 22.091363 -43.318234   6867  3.41
 22.812936 -49.072702   7083  3.93
 22.870873  15.345823   7097  3.62
 24.428527 -57.236757   7588  0.45
 24.498150  48.628213   7607  3.59
 26.017012 -15.937480   8102  3.49
 27.865140 -10.335038   8645  3.74
 28.270450  29.578829   8796  3.42
 28.382560  19.293852   8832  3.88
 28.598856  63.670102   8886  3.35
 28.660038  20.808035   8903  2.64
 28.989468 -51.608896   9007  3.69
 29.692473 -61.569859   9236  2.86
 30.001283 -21.077832   9347  3.99
 30.511750   2.763759   9487  3.82
 30.858772  72.421294   9598  3.95
 30.974804  42.329725   9640  2.10
 31.793363  23.462423   9884  2.01
 32.385945  34.987297  10064  3.00
 34.127439 -51.512165  10602  3.56
 37.954515  89.264110  11767  1.97
 40.825162   3.235819  12706  3.47
 42.495968  27.260507  13209  3.61
 42.674209  55.895496  13268  3.77
 43.564419  52.762479  13531  3.93
 44.106874  -8.898144  13701  3.89
 44.565311 -40.304672  13847  2.88
 45.569884   4.089734  14135  2.54
 46.199128  53.506440  14328  2.91
 46.294139  38.840274  14354  3.32
 47.042215  40.955648  14576  2.09
 47.374048  44.857544  14668  3.79
 48.018866 -28.987618  14879  3.80
 49.879175 -21.757864  15474  3.70
 51.080710  49.861180  15863  1.79
 51.203307   9.028870  15900  3.61
 51.792303   9.732680  16083  3.73
 53.232684  -9.458262  16537  3.72
 55.731262  47.787551  17358  3.01
 55.812091  -9.763395  17378  3.52
 56.049906 -64.806903  17440  3.84
 56.079717  32.288248  17448  3.84
 56.218905  24.113339  17499  3.72
 56.298466  42.578549  17529  3.77
 56.456694  24.367749  17573  3.87
